[2026-01-21 22:21:56] Linha 3 | CPF: 11122233344 | Parcela: 2 | Vencimento inválido (31-02-2026)
[2026-01-21 22:21:58] Linha 64 | CPF:  | Parcela: 13 | CPF vazio ou não informado
[2026-01-21 22:21:59] Linha 72 | CPF: 98765432100 | Parcela: 21 | Vencimento inválido (31-02-2026)
[2026-01-21 22:21:59] Linha 77 | CPF: 12345678901 | Parcela: 1 | E-mail inválido (joão@email.com)
[2026-01-21 22:22:00] Linha 78 | CPF: 12345678901 | Parcela: 2 | E-mail inválido (joão@email.com)
[2026-01-21 22:22:00] Linha 79 | CPF: 12345678901 | Parcela: 3 | E-mail inválido (joão@email.com)
[2026-01-21 22:22:00] Linha 80 | CPF: 12345678901 | Parcela: 4 | E-mail inválido (joão@email.com)
[2026-01-21 22:22:00] Linha 81 | CPF: 12345678901 | Parcela: 5 | E-mail inválido (joão@email.com)
[2026-01-21 22:22:00] Linha 82 | CPF: 12345678901 | Parcela: 6 | E-mail inválido (joão@email.com)
[2026-01-21 22:22:01] Linha 83 | CPF: 12345678901 | Parcela: 7 | E-mail inválido (joão@email.com)
[2026-01-21 22:22:01] Linha 84 | CPF: 12345678901 | Parcela: 8 | E-mail inválido (joão@email.com)
[2026-01-21 22:22:01] Linha 85 | CPF: 12345678901 | Parcela: 9 | E-mail inválido (joão@email.com)
[2026-01-21 22:22:01] Linha 86 | CPF: 12345678901 | Parcela: 10 | E-mail inválido (joão@email.com)
[2026-01-21 22:22:01] Linha 87 | CPF:  | Parcela: 11 | CPF vazio ou não informado
[2026-01-21 22:22:02] Linha 88 | CPF: 12345678901 | Parcela: 12 | E-mail inválido (joão@email.com)
[2026-01-21 22:22:02] Linha 89 | CPF: 12345678901 | Parcela: 13 | E-mail inválido (joão@email.com)
[2026-01-21 22:22:02] Linha 90 | CPF: 12345678901 | Parcela: 14 | E-mail inválido (joão@email.com)
[2026-01-21 22:22:02] Linha 91 | CPF: 12345678901 | Parcela: 15 | E-mail inválido (joão@email.com)
[2026-01-21 22:22:02] Linha 92 | CPF: 12345678901 | Parcela: 16 | E-mail inválido (joão@email.com)
[2026-01-21 22:22:02] Linha 93 | CPF: 12345678901 | Parcela: 17 | E-mail inválido (joão@email.com)
[2026-01-21 22:22:02] Linha 94 | CPF: 12345678901 | Parcela: 18 | E-mail inválido (joão@email.com)
[2026-01-21 22:22:02] Linha 95 | CPF: 12345678901 | Parcela: 19 | E-mail inválido (joão@email.com)
[2026-01-21 22:22:02] Linha 96 | CPF: 12345678901 | Parcela: 20 | E-mail inválido (joão@email.com)
[2026-01-21 22:22:03] Linha 97 | CPF: 12345678901 | Parcela: 21 | E-mail inválido (joão@email.com)
[2026-01-21 22:22:03] Linha 98 | CPF: 12345678901 | Parcela: 22 | E-mail inválido (joão@email.com)
[2026-01-21 22:22:03] Linha 99 | CPF: 12345678901 | Parcela: 23 | E-mail inválido (joão@email.com)
[2026-01-21 22:22:03] Linha 100 | CPF: 12345678901 | Parcela: 24 | E-mail inválido (joão@email.com)
[2026-01-21 22:22:04] Linha 101 | CPF: 12345678901 | Parcela: 25 | E-mail inválido (joão@email.com)
[2026-01-21 22:59:02] Linha 3 | CPF: 11122233344 | Parcela: 2 | Vencimento inválido (31-02-2026)
[2026-01-21 22:59:03] Linha 64 | CPF:  | Parcela: 13 | CPF vazio ou não informado
[2026-01-21 22:59:03] Linha 72 | CPF: 98765432100 | Parcela: 21 | Vencimento inválido (31-02-2026)
[2026-01-21 22:59:04] Linha 77 | CPF: 12345678901 | Parcela: 1 | E-mail inválido (joão@email.com)
[2026-01-21 22:59:04] Linha 78 | CPF: 12345678901 | Parcela: 2 | E-mail inválido (joão@email.com)
[2026-01-21 22:59:04] Linha 79 | CPF: 12345678901 | Parcela: 3 | E-mail inválido (joão@email.com)
[2026-01-21 22:59:05] Linha 80 | CPF: 12345678901 | Parcela: 4 | E-mail inválido (joão@email.com)
[2026-01-21 22:59:06] Linha 81 | CPF: 12345678901 | Parcela: 5 | E-mail inválido (joão@email.com)
[2026-01-21 22:59:06] Linha 82 | CPF: 12345678901 | Parcela: 6 | E-mail inválido (joão@email.com)
[2026-01-21 22:59:06] Linha 83 | CPF: 12345678901 | Parcela: 7 | E-mail inválido (joão@email.com)
[2026-01-21 22:59:06] Linha 84 | CPF: 12345678901 | Parcela: 8 | E-mail inválido (joão@email.com)
[2026-01-21 22:59:06] Linha 85 | CPF: 12345678901 | Parcela: 9 | E-mail inválido (joão@email.com)
[2026-01-21 22:59:06] Linha 86 | CPF: 12345678901 | Parcela: 10 | E-mail inválido (joão@email.com)
[2026-01-21 22:59:06] Linha 87 | CPF:  | Parcela: 11 | CPF vazio ou não informado
[2026-01-21 22:59:06] Linha 88 | CPF: 12345678901 | Parcela: 12 | E-mail inválido (joão@email.com)
[2026-01-21 22:59:06] Linha 89 | CPF: 12345678901 | Parcela: 13 | E-mail inválido (joão@email.com)
[2026-01-21 22:59:06] Linha 90 | CPF: 12345678901 | Parcela: 14 | E-mail inválido (joão@email.com)
[2026-01-21 22:59:06] Linha 91 | CPF: 12345678901 | Parcela: 15 | E-mail inválido (joão@email.com)
[2026-01-21 22:59:06] Linha 92 | CPF: 12345678901 | Parcela: 16 | E-mail inválido (joão@email.com)
[2026-01-21 22:59:06] Linha 93 | CPF: 12345678901 | Parcela: 17 | E-mail inválido (joão@email.com)
[2026-01-21 22:59:06] Linha 94 | CPF: 12345678901 | Parcela: 18 | E-mail inválido (joão@email.com)
[2026-01-21 22:59:06] Linha 95 | CPF: 12345678901 | Parcela: 19 | E-mail inválido (joão@email.com)
[2026-01-21 22:59:06] Linha 96 | CPF: 12345678901 | Parcela: 20 | E-mail inválido (joão@email.com)
[2026-01-21 22:59:06] Linha 97 | CPF: 12345678901 | Parcela: 21 | E-mail inválido (joão@email.com)
[2026-01-21 22:59:06] Linha 98 | CPF: 12345678901 | Parcela: 22 | E-mail inválido (joão@email.com)
[2026-01-21 22:59:06] Linha 99 | CPF: 12345678901 | Parcela: 23 | E-mail inválido (joão@email.com)
[2026-01-21 22:59:07] Linha 100 | CPF: 12345678901 | Parcela: 24 | E-mail inválido (joão@email.com)
[2026-01-21 22:59:07] Linha 101 | CPF: 12345678901 | Parcela: 25 | E-mail inválido (joão@email.com)
